,District name(ru),District name(en),Lat,Lng,Districts,Okrugs,Type,Okrugs_lbl,USD per sq.meter,Amphitheater,Aquarium,Arcade,Art Gallery,Bowling Alley,Casino,Circus,Comedy Club,Concert Hall,Country Dance Club,Disc Golf,Exhibit,General Entertainment,Go Kart Track,Historic Site,Karaoke Box,Laser Tag,Memorial Site,Mini Golf,Drive-in Theater,Indie Movie Theater,Multiplex,Art Museum,Erotic Museum,History Museum,Planetarium,Science Museum,Jazz Club,Piano Bar,Rock Club,Pachinko Parlor,Dance Studio,Indie Theater,Opera House,Theater,Pool Hall,Outdoor Sculpture,Street Art,Racecourse,Racetrack,Roller Rink,Salsa Club,Samba School,Baseball Stadium,Basketball Stadium,Cricket Ground,Football Stadium,Hockey Arena,Rugby Stadium,Soccer Stadium,Tennis Stadium,Track Stadium,Theme Park Ride / Attraction,Tour Provider,Water Park,Zoo Exhibit,College Arts Building,College Communications Building,College Engineering Building,College History Building,College Math Building,College Science Building,College Technology Building,College Administrative Building,College Auditorium,College Bookstore,College Cafeteria,College Classroom,College Gym,College Lab,College Library,College Quad,College Rec Center,College Residence Hall,College Baseball Diamond,College Basketball Court,College Cricket Pitch,College Football Field,College Hockey Rink,College Soccer Field,College Tennis Court,College Track,College Theater,Community College,Fraternity House,General College & University,Law School,Medical School,Sorority House,Student Center,Trade School,University,Christmas Market,Conference,Convention,Festival,Line / Queue,Music Festival,Other Event,Parade,Sporting Event,Stoop Sale,Street Fair,Trade Fair,Afghan Restaurant,Ethiopian Restaurant,New American Restaurant,Burmese Restaurant,Cambodian Restaurant,Chinese Restaurant,Filipino Restaurant,Himalayan Restaurant,Hotpot Restaurant,Indonesian Restaurant,Japanese Restaurant,Korean Restaurant,Malay Restaurant,Mongolian Restaurant,Noodle House,Satay Restaurant,Thai Restaurant,Tibetan Restaurant,Vietnamese Restaurant,Australian Restaurant,Austrian Restaurant,BBQ Joint,Bagel Shop,Bakery,Belgian Restaurant,Bistro,Breakfast Spot,Bubble Tea Shop,Buffet,Burger Joint,Cafeteria,Café,Cajun / Creole Restaurant,Cuban Restaurant,Caucasian Restaurant,Coffee Shop,Comfort Food Restaurant,Creperie,Czech Restaurant,Deli / Bodega,Cupcake Shop,Frozen Yogurt Shop,Ice Cream Shop,Pastry Shop,Pie Shop,Diner,Donut Shop,Dumpling Restaurant,Dutch Restaurant,Belarusian Restaurant,Bosnian Restaurant,Bulgarian Restaurant,Romanian Restaurant,Tatar Restaurant,English Restaurant,Falafel Restaurant,Fast Food Restaurant,Fish & Chips Shop,Fondue Restaurant,Food Court,Food Stand,Food Truck,Alsatian Restaurant,Auvergne Restaurant,Basque Restaurant,Brasserie,Breton Restaurant,Burgundian Restaurant,Catalan Restaurant,Ch'ti Restaurant,Corsican Restaurant,Estaminet,Labour Canteen,Lyonese Bouchon,Norman Restaurant,Provençal Restaurant,Savoyard Restaurant,Southwestern French Restaurant,Fried Chicken Joint,Friterie,Gastropub,Apple Wine Pub,Bavarian Restaurant,Bratwurst Joint,Currywurst Joint,Franconian Restaurant,German Pop-Up Restaurant,Palatine Restaurant,Rhenisch Restaurant,Schnitzel Restaurant,Silesian Restaurant,Swabian Restaurant,Gluten-free Restaurant,Bougatsa Shop,Cretan Restaurant,Fish Taverna,Grilled Meat Restaurant,Kafenio,Magirio,Meze Restaurant,Modern Greek Restaurant,Ouzeri,Patsa Restaurant,Souvlaki Shop,Taverna,Tsipouro Restaurant,Halal Restaurant,Poke Place,Hot Dog Joint,Hungarian Restaurant,Andhra Restaurant,Awadhi Restaurant,Bengali Restaurant,Chaat Place,Chettinad Restaurant,Dhaba,Dosa Place,Goan Restaurant,Gujarati Restaurant,Hyderabadi Restaurant,Indian Chinese Restaurant,Indian Sweet Shop,Irani Cafe,Jain Restaurant,Karnataka Restaurant,Kerala Restaurant,Maharashtrian Restaurant,Mughlai Restaurant,Multicuisine Indian Restaurant,North Indian Restaurant,Northeast Indian Restaurant,Parsi Restaurant,Punjabi Restaurant,Rajasthani Restaurant,South Indian Restaurant,Udupi Restaurant,Irish Pub,Abruzzo Restaurant,Agriturismo,Aosta Restaurant,Basilicata Restaurant,Calabria Restaurant,Campanian Restaurant,Emilia Restaurant,Friuli Restaurant,Ligurian Restaurant,Lombard Restaurant,Malga,Marche Restaurant,Molise Restaurant,Piadineria,Piedmontese Restaurant,Puglia Restaurant,Romagna Restaurant,Roman Restaurant,Sardinian Restaurant,Sicilian Restaurant,South Tyrolean Restaurant,Trattoria/Osteria,Trentino Restaurant,Tuscan Restaurant,Umbrian Restaurant,Veneto Restaurant,Kosher Restaurant,Juice Bar,Kebab Restaurant,Arepa Restaurant,Empanada Restaurant,Salvadoran Restaurant,South American Restaurant,Mac & Cheese Joint,Moroccan Restaurant,Botanero,Burrito Place,Taco Place,Tex-Mex Restaurant,Yucatecan Restaurant,Egyptian Restaurant,Iraqi Restaurant,Israeli Restaurant,Kurdish Restaurant,Lebanese Restaurant,Persian Restaurant,Shawarma Place,Syrian Restaurant,Yemeni Restaurant,Modern European Restaurant,Molecular Gastronomy Restaurant,Pakistani Restaurant,Pet Café,Pizza Place,Polish Restaurant,Portuguese Restaurant,Poutine Place,Restaurant,Blini House,Pelmeni House,Salad Place,Sandwich Place,Scandinavian Restaurant,Scottish Restaurant,Seafood Restaurant,Slovak Restaurant,Snack Place,Soup Place,Southern / Soul Food Restaurant,Paella Restaurant,Tapas Restaurant,Sri Lankan Restaurant,Steakhouse,Swiss Restaurant,Tea Room,Theme Restaurant,Truck Stop,Borek Place,Cigkofte Place,Doner Restaurant,Gozleme Place,Kofte Place,Kokoreç Restaurant,Kumpir Restaurant,Kumru Restaurant,Manti Place,Meyhane,Pide Place,Pilavcı,Söğüş Place,Tantuni Restaurant,Turkish Coffeehouse,Turkish Home Cooking Restaurant,Çöp Şiş Place,Varenyky restaurant,West-Ukrainian Restaurant,Vegetarian / Vegan Restaurant,Wings Joint,Beach Bar,Beer Bar,Beer Garden,Champagne Bar,Cocktail Bar,Dive Bar,Gay Bar,Hookah Bar,Hotel Bar,Karaoke Bar,Pub,Sake Bar,Speakeasy,Sports Bar,Tiki Bar,Whisky Bar,Wine Bar,Brewery,Lounge,Night Market,Nightclub,Other Nightlife,Strip Club,Badminton Court,Baseball Field,Basketball Court,Bowling Green,Curling Ice,Golf Course,Golf Driving Range,Gym / Fitness Center,Hockey Field,Hockey Rink,Paintball Field,Rugby Pitch,Skate Park,Skating Rink,Soccer Field,Sports Club,Squash Court,Tennis Court,Volleyball Court,Bathing Area,Bay,Nudist Beach,Surf Spot,Bike Trail,Botanical Garden,Bridge,Campground,Canal Lock,Canal,Castle,Cave,Cemetery,Dive Spot,Dog Run,Farm,Field,Fishing Spot,Forest,Fountain,Garden,Gun Range,Harbor / Marina,Hill,Hot Spring,Indoor Play Area,Island,Lake,Lighthouse,Mountain Hut,Mountain,National Park,Nature Preserve,Other Great Outdoors,Palace,Park,Pedestrian Plaza,Playground,Plaza,Pool,Rafting,Recreation Center,Reservoir,River,Rock Climbing Spot,Roof Deck,Scenic Lookout,Sculpture Garden,Apres Ski Bar,Ski Chairlift,Ski Chalet,Ski Lodge,Ski Trail,Skydiving Drop Zone,Stables,State / Provincial Park,City,County,Country,Neighborhood,State,Town,Village,Summer Camp,Trail,Tree,Vineyard,Volcano,Waterfall,Waterfront,Well,Windmill,Animal Shelter,Art Studio,Auditorium,Ballroom,Building,Business Center,Club House,Community Center,Meeting Room,Cultural Center,Distillery,Distribution Center,Outdoor Event Space,Factory,Fair,Funeral Home,Capitol Building,City Hall,Courthouse,Embassy / Consulate,Fire Station,Monument / Landmark,Police Station,Town Hall,Industrial Estate,Laboratory,Library,Acupuncturist,Alternative Healer,Chiropractor,Dentist's Office,Doctor's Office,Emergency Room,Eye Doctor,Hospital,Maternity Clinic,Medical Lab,Mental Health Office,Nutritionist,Physical Therapist,Rehab Center,Urgent Care Center,Veterinarian,Military Base,Non-Profit,Observatory,Advertising Agency,Campaign Office,Conference Room,Corporate Amenity,Corporate Cafeteria,Corporate Coffee Shop,Coworking Space,Tech Startup,Parking,Post Office,Power Plant,Prison,Radio Station,Recruiting Agency,Research Station,Adult Education Center,Circus School,Cooking School,Driving School,Elementary School,Flight School,High School,Language School,Middle School,Music School,Nursery School,Preschool,Private School,Religious School,Swim School,Social Club,Buddhist Temple,Cemevi,Church,Confucian Temple,Hindu Temple,Kingdom Hall,Monastery,Mosque,Prayer Room,Shrine,Sikh Temple,Synagogue,Temple,Terreiro,TV Station,Voting Booth,Warehouse,Waste Facility,Wedding Hall,Winery,Assisted Living,Home (private),Housing Development,Residential Building (Apartment / Condo),Trailer Park,ATM,Adult Boutique,Antique Shop,Arts & Crafts Store,Astrologer,Auto Dealership,Auto Garage,Auto Workshop,Automotive Shop,Baby Store,Bank,Bath House,Batik Shop,Betting Shop,Big Box Store,Bike Shop,Board Shop,Bookstore,Bridal Shop,Business Service,Camera Store,Candy Store,Car Wash,Carpet Store,Check Cashing Service,Daycare,Chocolate Shop,Accessories Store,Boutique,Kids Store,Lingerie Store,Men's Store,Shoe Store,Women's Store,Comic Shop,Construction & Landscaping,Convenience Store,Cosmetics Shop,Costume Shop,Credit Union,Currency Exchange,Department Store,Design Studio,Discount Store,Dive Shop,Drugstore,Dry Cleaner,EV Charging Station,Electronics Store,Entertainment Service,Event Service,Fabric Shop,Film Studio,Financial or Legal Service,Fireworks Store,Fishing Store,Flea Market,Floating Market,Flower Shop,Beer Store,Butcher,Cheese Shop,Dairy Store,Farmers Market,Fish Market,Food Service,Gourmet Shop,Grocery Store,Health Food Store,Kuruyemişçi,Liquor Store,Organic Grocery,Sausage Shop,Street Food Gathering,Supermarket,Turşucu,Wine Shop,Frame Store,Fruit & Vegetable Store,Lighting Store,Gaming Cafe,Garden Center,Gas Station,Gift Shop,Gun Shop,Hardware Store,Health & Beauty Service,Herbs & Spices Store,Hobby Shop,Home Service,Hunting Supply,IT Services,Insurance Office,Internet Cafe,Jewelry Store,Kitchen Supply Store,Knitting Store,Laundromat,Laundry Service,Lawyer,Leather Goods Store,Locksmith,Lottery Retailer,Luggage Store,Marijuana Dispensary,Market,Massage Studio,Mattress Store,Medical Supply Store,Miscellaneous Shop,Mobile Phone Shop,Mobility Store,Motorcycle Shop,Motorsports Shop,Music Store,Nail Salon,Newsstand,Notary,Optical Shop,Other Repair Shop,Outdoor Supply Store,Outlet Mall,Outlet Store,Paper / Office Supplies Store,Pawn Shop,Perfume Shop,Pet Service,Pet Store,Pharmacy,Photography Lab,Photography Studio,Piercing Parlor,Pop-Up Shop,Print Shop,Public Bathroom,Real Estate Office,Record Shop,Recording Studio,Recycling Facility,Rental Service,Salon / Barbershop,Sauna / Steam Room,Shipping Store,Shoe Repair,Shopping Mall,Shopping Plaza,Skate Shop,Ski Shop,Smoke Shop,Smoothie Shop,Souvenir Shop,Spa,Sporting Goods Shop,Stationery Store,Storage Facility,Supplement Shop,Tailor Shop,Tanning Salon,Tattoo Parlor,Thrift / Vintage Store,Toy / Game Store,Travel Agency,Used Bookstore,Vape Store,Video Game Store,Video Store,Warehouse Store,Watch Shop,Airport Food Court,Airport Gate,Airport Lounge,Airport Service,Airport Terminal,Airport Tram,Baggage Claim,Plane,Baggage Locker,Bike Rental / Bike Share,Boat Rental,Boat or Ferry,Border Crossing,Bus Line,Bus Stop,Cable Car,Cruise,Duty-free Shop,General Travel,Heliport,Bed & Breakfast,Boarding House,Hostel,Hotel Pool,Inn,Motel,Resort,Vacation Rental,Intersection,Light Rail Station,Metro Station,Moving Target,Pier,Port,RV Park,Rental Car Location,Rest Area,Road,Taxi Stand,Taxi,Toll Booth,Toll Plaza,Tourist Information Center,Platform,Train,Tram Station,Transportation Service,Travel Lounge,Tunnel
0,район Восточный,rajon Vostochnyj,55.814862126436786,37.874472482758605,восточный,ВАО,Муниципальный округ,0,1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Обручевский район,Obruchevskij rajon,55.6603808403361,37.523142436974794,обручевский,ЮЗАО,Муниципальный округ,9,2982,0.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,23.0,0.0,6.0,10.0,2.0,3.0,5.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,12.0,0.0,1.0,0.0,2.0,1.0,7.0,11.0,27.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,5.0,1.0,3.0,10.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,0.0,2.0,4.0,0.0,2.0,0.0,4.0,4.0,0.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,9.0,1.0,40.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,12.0,0.0,47.0,3.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,8.0,3.0,4.0,0.0,6.0,4.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,15.0,6.0,1.0,0.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,1.0,4.0,8.0,0.0,4.0,1.0,35.0,14.0,35.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,2.0,0.0,14.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,6.0,0.0,29.0,30.0,0.0,0.0,1.0,1.0,2.0,0.0,18.0,0.0,14.0,23.0,4.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,22.0,1.0,0.0,0.0,0.0,2.0,12.0,6.0,4.0,3.0,4.0,5.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,6.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,9.0,0.0,2.0,0.0,0.0,18.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,17.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,50.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,7.0,3.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,14.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,4.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
